,State,TotalFirmsUsingAI,PercentFirmsUsingAI,TotalEmployeesUsingAI,TotalFirmsNoAI,PercentFirmsNoAI,TotalEmployeesNoAI
0,Mississippi,333,9.3,2941,3054,85.2,22479
1,Missouri,413,3.6,41343,10272,89.7,80922
2,Montana,164,4.8,733,3045,89.8,12184
3,Nebraska,114,2.7,3678,3793,90.8,28495
4,Nevada,356,5.6,4254,5620,88.8,30499
5,New Hampshire,170,5.6,2260,2737,89.8,23570
6,New Jersey,1696,8.1,48144,17549,84.2,128514
7,New Mexico,414,11.4,3777,2981,82.3,18704
8,New York,2484,5.7,104575,38456,87.5,356043
9,North Carolina,1031,4.9,28219,19007,90.6,137855
10,North Dakota,41,2.5,860,1472,91.0,12440
11,Ohio,1048,5.2,40468,17968,88.3,176482
12,Oklahoma,190,2.3,8883,7562,92.1,48043
13,Oregon,691,6.2,6870,9723,86.9,58827
14,Pennsylvania,1592,6.6,44443,21355,88.5,185673
15,Rhode Island,27,1.3,1491,1926,89.8,12342
16,South Carolina,425,4.7,9782,8092,89.8,63724
17,South Dakota,131,8.1,1301,1370,84.8,6810
18,Tennessee,394,4.6,20001,7506,88.2,72493
19,Texas,3510,6.9,128347,44462,87.9,378177
20,Vermont,130,6.9,804,1678,88.8,8213
21,Utah,595,6.7,8358,7982,89.3,60910
22,Virginia,1523,6.6,82091,20225,87.3,210872
23,Washington,1120,6.3,48086,15991,89.6,143607
24,West Virginia,37,1.7,699,2046,92.9,18323
25,Wisconsin,445,4.4,8689,9012,89.4,69391
26,Wyoming,30,1.6,744,0,0.0,0
27,Alabama,490,6.6,15111,6380,86.4,56001
28,Alaska,58,3.7,1164,1436,92.5,12982
29,Arizona,827,5.9,15065,12484,88.6,77478
30,Arkansas,263,5.3,3111,4193,84.3,20096
31,California,6381,6.8,189123,80822,86.2,580459
32,Colorado,1415,6.2,31137,20227,88.9,162953
33,Delaware,199,8.5,3464,1916,81.6,18174
34,District of Columbia,495,13.4,17388,2914,78.9,51007
35,Connecticut,410,5.6,17137,6516,89.0,52053
36,Florida,3479,5.8,57540,53419,88.7,307472
37,Georgia,1102,4.9,34843,19420,86.9,145882
38,Idaho,153,3.8,9365,3590,88.9,23387
39,Hawaii,196,8.3,1929,2098,88.3,16885
40,Illinois,1516,5.0,57437,27071,88.9,190247
41,Indiana,717,6.9,32872,9255,88.9,62301
42,Iowa,324,5.7,10126,5113,90.5,35394
43,Kansas,156,2.6,5157,5372,89.5,35254
44,Kentucky,302,4.3,10568,6197,88.3,39658
45,Louisiana,0,0.0,0,7897,90.5,57472
46,Maine,319,10.7,3419,2507,83.7,11084
47,Maryland,902,5.6,39713,14268,88.3,165090
48,Massachusetts,1176,7.1,50162,14199,85.5,142638
49,Michigan,716,4.2,42346,14939,88.2,114267
50,Minnesota,934,6.6,18708,12692,89.1,97816
